name,position,team,id,draftsSelectedIn,averagePick,minPick,maxPick
D.Johnson,RB,ARI,12171,2467,1.45,1,109
L.Bell,RB,PIT,11192,2466,2.41,1,110
A.Brown,WR,PIT,9988,2468,3.62,1,111
J.Jones,WR,ATL,10271,2468,5.48,1,118
O.Beckham,WR,NYG,11679,2471,7.17,1,120
M.Evans,WR,TBB,11671,2465,8.75,1,117
D.Freeman,RB,ATL,11660,2466,8.90,1,142
L.McCoy,RB,BUF,9448,2469,9.26,1,114
M.Gordon,RB,LAC,12151,2458,11.56,1,178
A.Green,WR,CIN,10261,2473,11.74,1,119
J.Nelson,WR,GB,9118,2466,12.43,1,185
E.Elliott,RB,DAL,12625,2474,15.57,1,121
J.Ajayi,RB,MIA,12154,2463,15.86,1,208
A.Rodgers,QB,GB,7836,2399,15.87,1,118
M.Thomas,WR,NO,12652,2461,17.18,1,212
J.Howard,RB,CHI,12634,2465,18.68,2,212
D.Murray,RB,TEN,10302,2470,18.71,3,135
A.Cooper,WR,OAK,12175,2477,20.15,2,125
D.Bryant,WR,DAL,9823,2478,20.93,2,123
T.Gurley,RB,LAR,12150,2476,20.95,1,132
R.Gronkowski,TE,NE,9902,2472,21.24,1,134
B.Cooks,WR,NE,11674,2476,22.12,3,126
T.Brady,QB,NE,5848,2399,23.70,1,179
D.Baldwin,WR,SEA,10527,2476,26.77,5,127
L.Fournette,RB,JAC,13129,2479,27.10,2,164
C.McCaffrey,RB,CAR,13130,2474,27.78,1,144
T.Hilton,WR,IND,10729,2477,29.27,4,146
D.Cook,RB,MIN,13128,2478,32.16,1,143
D.Hopkins,WR,HOU,11232,2478,32.29,7,138
L.Miller,RB,HOU,10708,2479,33.14,4,171
D.Brees,QB,NO,4925,2407,35.01,1,173
M.Lynch,RB,OAK,8670,2480,36.37,4,157
D.Thomas,WR,DEN,9884,2478,37.10,9,156
K.Allen,WR,LAC,11222,2479,38.08,11,147
T.Kelce,TE,KC,11244,2472,38.11,3,214
I.Crowell,RB,CLE,11668,2474,38.26,5,174
K.Hunt,RB,KC,13138,2478,39.69,2,178
T.Pryor,WR,WAS,10500,2476,40.28,4,214
A.Jeffery,WR,PHI,10722,2479,41.53,3,142
T.Montgomery,RB,GB,12261,2477,42.04,9,211
C.Hyde,RB,SF,11657,2476,43.44,10,137
M.Ryan,QB,ATL,9099,2395,44.58,1,177
D.Adams,WR,GB,11675,2475,44.92,13,227
J.Mixon,RB,CIN,13131,2475,46.07,3,207
T.Hill,WR,KC,12801,2468,47.76,5,215
M.Crabtree,WR,OAK,9427,2477,49.30,3,170
K.Benjamin,WR,CAR,11673,2474,51.62,13,176
J.Reed,TE,WAS,11248,2472,52.16,6,157
A.Robinson,WR,JAC,11678,2478,52.34,13,175
G.Olsen,TE,CAR,8687,2476,52.92,12,190
G.Tate,WR,DET,9831,2479,53.54,20,175
R.Wilson,QB,SEA,10703,2410,56.44,3,160
C.Anderson,RB,DEN,11454,2473,56.56,2,178
M.Bryant,WR,PIT,11688,2474,57.16,6,238
L.Fitzgerald,WR,ARI,7393,2474,58.32,12,217
J.Landry,WR,MIA,11680,2470,59.88,22,291
M.Ingram,RB,NO,10276,2472,60.10,4,212
J.Graham,TE,SEA,9925,2465,60.84,16,172
A.Abdullah,RB,DET,12155,2464,60.99,9,185
D.Carr,QB,OAK,11644,2402,64.28,2,164
B.Powell,RB,NYJ,10369,2458,65.72,18,248
S.Diggs,WR,MIN,12186,2463,66.31,7,221
S.Watkins,WR,LAR,11670,2469,66.74,12,205
