"name","position","team","points","sdPts","value","averagePick","fteam","tsel","posOrd","year","expValue_m","expValue_v","expResid_m","expResid_v"
"A.Blue","RB","HOU",40.5608571428571,9.76538108717616,89.6,214.69,-1,TRUE,71,2014,47.6630944233116,29.6913353458797,7.10223728045448,29.6913353458797
"A.Boldin","WR","SF",144.795153846154,13.4314988595185,178.1,124.09,-1,TRUE,45,2014,115.485291399504,59.1686726698459,-29.3098624466504,59.1686726698459
"A.Bradshaw","RB","IND",97.2638333333333,27.3130555422779,134.5,167.04,-1,TRUE,51,2014,102.400075499343,76.9485249005751,5.13624216600984,76.9485249005751
"A.Brown","WR","PIT",238.775045177045,8.31745072110887,326.9,22.15,-1,TRUE,7,2014,180.592862242432,248.289997184706,-58.1821829346132,248.289997184706
"A.Caldwell","WR","DEN",55.7872727272727,12.3200061107201,10.7,210.75,-1,TRUE,82,2014,57.416968219918,35.7331514419205,1.62969549264533,35.7331514419205
"A.Dalton","QB","CIN",257.764074358974,12.0801290992776,223,117.13,-1,TRUE,15,2014,226.52753316371,178.40210588033,-31.2365411952639,178.40210588033
"A.Dobson","WR","NE",104.305632478632,29.470883831791,5.3,155.1,-1,TRUE,56,2014,99.000238229686,43.6951952687508,-5.30539424894605,43.6951952687509
"A.Ellington","RB","ARI",214.428025641026,12.2830075763087,154.5,32.62,-1,TRUE,12,2014,153.458952517224,165.766350969065,-60.9690731238023,165.766350969065
"A.Foster","RB","HOU",221.764666666667,20.962368757954,254.5,26.01,-1,TRUE,11,2014,156.867368351367,208.292938464965,-64.8972983152998,208.292938464965
"A.Gates","TE","SD",124.524948717949,10.9367183901433,187.6,146.7,-1,TRUE,16,2014,113.996808164514,87.3394243584182,-10.5281405534352,87.3394243584182
"A.Green","WR","CIN",242.710374014874,12.4073092090664,169.8,12.27,-1,TRUE,4,2014,183.561615200406,284.01195757483,-59.1487588144683,284.01195757483
"A.Hawkins","WR","CLE",123.879623931624,16.9584945362884,127.5,173.48,-1,TRUE,63,2014,105.281603795057,47.7515484465445,-18.5980201365674,47.7515484465446
"A.Holmes","WR","OAK",89.8533838383838,28.9229600061755,116.8,211.98,-1,TRUE,83,2014,87.7946350779052,38.710417218945,-2.05874876047862,38.7104172189449
"A.Hurns","WR","JAC",61.8142857142857,19.8006320245448,129.2,202.41,-1,TRUE,78,2014,62.1672510709231,35.2065028472486,0.352965356637395,35.2065028472486
"A.Jeffery","WR","CHI",223.417195215895,13.8144604466241,218.1,23.27,-1,TRUE,9,2014,169.752540251994,156.703536096375,-53.664654963901,156.703536096375
"A.Johnson","WR","HOU",213.157730769231,12.9591320385398,148.1,41.75,-1,TRUE,14,2014,163.229458009257,123.500308874895,-49.9282727599743,123.500308874895
"A.Luck","QB","IND",305.710598901099,10.3292341064426,344.7,38.05,-1,TRUE,4,2014,257.877024781003,537.79689211572,-47.8335741200963,537.79689211572
"A.Morris","RB","WAS",199.2525,18.3827892152778,177.4,33.72,-1,TRUE,13,2014,145.920135749951,118.805361357249,-53.3323642500488,118.805361357249
"A.Peterson","RB","MIN",268.440906648907,14.1024480141234,10.3,4.64,-1,TRUE,3,2014,167.14841677845,899.308689402686,-101.292489870457,899.308689402687
