"","playerID","name","Team","pass.att","pass.comp","passyds","pass.tds","pass.ints","pass.twopta","pass.twoptm","rush.att","rushyds","rushtds","rushlng","rushlngtd","rush.twopta","rush.twoptm","recept","recyds","rec.tds","reclng","reclngtd","rec.twopta","rec.twoptm","kick.rets","kickret.avg","kickret.tds","kick.ret.lng","kickret.lngtd","punt.rets","puntret.avg","puntret.tds","puntret.lng","puntret.lngtd","fgm","fga","fgyds","totpts.fg","xpmade","xpmissed","xpa","xpb","xppts.tot","tackles","asst.tackles","sacks","defints","forced.fumbs","totalfumbs","recfumbs","totalrecfumbs","fumbyds","fumbslost","games","value","Season"
"1","00-0027866","E.Thomas","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,69,26,0,1,3,1,0,1,0,1,16,-2,2014
"2","00-0026998","P.Harvin","SEA",0,0,0,0,0,0,0,11,92,1,73,51,0,0,22,133,0,67,0,0,0,12,83,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,5,38.5,2014
"3","00-0028434","D.Baldwin","SEA",0,0,0,0,0,0,0,1,8,0,8,0,0,0,66,825,3,376,39,0,0,5,44,0,50,0,6,13,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,135.8,2014
"4","00-0025399","M.Lynch","SEA",0,0,0,0,0,0,0,280,1306,13,355,128,0,0,37,367,4,223,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,16,282.8,2014
"5","00-0029159","J.Kearse","SEA",1,1,17,0,0,0,0,2,15,0,11,0,0,0,38,537,1,358,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15,80.8,2014
"6","00-0029263","R.Wilson","SEA",452,285,3475,20,7,1,0,118,849,6,357,69,0,0,1,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,-4,0,16,318.1,2014
"7","00-0029068","D.Coleman","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,1,29,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.9,2014
"8","00-0025425","Z.Miller","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,76,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10.6,2014
"9","00-0029273","R.Turbin","SEA",0,0,0,0,0,0,0,74,310,0,128,0,0,0,16,186,2,150,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16,67.6,2014
"10","00-0029295","J.Lane","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,1,0,0,0,0,0,5,0,2014
